Date of Inquiry,Date of Contact,Client Name,Phone Number,Email,Lead Status,Viewing Scheduled,Viewed,Follow-up Comment,Outcome
2025-03-10,2025-03-15,Kimberly Steele,(361)109-9914,jcortez@rice-johnson.com,Warm,No,No,Booked Site Visit,Booked Another Visit
2025-01-15,2025-02-05,Philip Perez,3362461639,erin17@porter.info,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-01-20,2025-03-22,Brenda Salazar,(753)526-1465x54309,normanbrittney@gmail.com,Cold,Yes,Yes,Other Interests,Not Interested
2025-02-09,2025-02-14,Dr. Clifford Moore,943-721-0250,justinwang@wright.com,Warm,Yes,Yes,Agents,Still Deciding
2025-03-21,2025-03-29,Sydney Simmons,491.245.5036,imartin@jones.biz,Warm,No,No,Follow Up with Another Call,Not Interested
2025-02-14,2025-02-22,Bobby Smith,001-837-528-6140x827,sanderscolleen@roberson-turner.com,Cold,Yes,No,Sent Info via Email,Purchased
2025-01-18,2025-01-26,Terry Ryan,(505)049-9972,christopher37@cain-allison.net,Hot,Yes,Yes,Follow Up with Another Call,Not Interested
2025-04-02,2025-04-08,Nicholas Adams,001-799-535-1972x4965,mwright@baldwin.com,Cold,Yes,Yes,Not Interested,Not Interested
2025-03-19,2025-04-02,Jose Lopez,(648)395-7125,tturner@taylor.net,Cold,Yes,Yes,Follow Up with Another Call,Purchased
2025-01-24,2025-03-23,Kimberly Thomas,(070)189-8543,jared93@curtis.com,Cold,No,No,Not Interested,Still Deciding
2025-01-20,2025-03-17,Geoffrey Stevens,054.035.5773,thomas66@mcdonald.com,Cold,Yes,Yes,Other Interests,Purchased
2025-02-27,2025-03-22,Jason Cobb,530-949-5692x9390,goodwinlynn@hotmail.com,Cold,No,No,Not Interested,Still Deciding
2025-01-27,2025-02-24,Cameron Jones,+1-249-826-8999,rrich@frazier.com,Warm,Yes,Yes,Not Interested,Still Deciding
2025-03-31,2025-04-06,Kristie Murphy,4225940519,wrightdavid@conway.com,Warm,Yes,Yes,Not Interested,Not Interested
2025-03-14,2025-04-05,Frank Nguyen,+1-709-219-5611,kaitlinchavez@gmail.com,Cold,No,No,Visited,Not Interested
2025-02-04,2025-03-31,Matthew Thompson,+1-377-610-8381x50098,zprince@gmail.com,Warm,No,No,Agents,Purchased
2025-03-30,2025-04-05,Amanda Clarke,+1-814-059-7029,jacksonmckinney@grant-anderson.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-01-12,2025-01-29,Kelsey Berry,731-480-2695,ygrant@howell-brown.com,Warm,No,No,Other Interests,Booked Another Visit
2025-03-01,2025-03-29,Anne Benson,(043)008-8684x0997,matthew44@carroll.net,Warm,No,No,Not Interested,Not Interested
2025-01-30,2025-03-09,Tasha Ingram,+1-951-265-9941x09576,crawfordkevin@hotmail.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-01-14,2025-03-12,William Smith,877.562.4815x00586,grahamrenee@gmail.com,Warm,No,No,Agents,Not Interested
2025-03-26,2025-04-03,Kimberly Spence,727-711-2701x583,samantha42@yahoo.com,Hot,No,No,Follow Up with Another Call,Still Deciding
2025-02-05,2025-03-03,Susan Gordon MD,(916)001-3455x134,collierstacey@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-16,2025-03-09,Terry Thompson,797-846-2917x06694,annettetaylor@miller.org,Warm,No,No,Sent Info via Email,Still Deciding
2025-02-11,2025-03-13,Lynn Price,0640408127,morgandaniels@hotmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-03-12,2025-03-16,Edwin Tapia,+1-164-579-3665x032,dhendricks@gmail.com,Warm,Yes,Yes,Visited,Still Deciding
2025-03-22,2025-04-04,Joshua Hammond,(382)205-0903x66119,justinmclean@moore.net,Hot,Yes,Yes,Did Not Pick,Not Interested
2025-02-26,2025-03-13,Roger Andrews,(688)526-7517x73864,riverakathleen@dorsey-herrera.com,Cold,No,No,Did Not Pick,Not Interested
2025-02-24,2025-03-09,Daniel Romero,(138)786-6573,anthonycarroll@hester.com,Warm,No,No,Visited,Not Interested
2025-03-05,2025-03-30,Harry King,660.127.6915x360,williamslindsay@hotmail.com,Warm,Yes,Yes,Booked Site Visit,Purchased
2025-01-09,2025-02-25,Candace Sherman,613-913-7511,daniel28@gmail.com,Hot,No,No,Visited,Not Interested
2025-03-28,2025-04-06,Christopher Johnson,(588)014-9149,hallrobin@harrell.com,Cold,No,No,Visited,Still Deciding
2025-01-24,2025-01-25,John Stafford,393.324.5080x19160,harrisedward@yahoo.com,Hot,Yes,No,Did Not Pick,Still Deciding
2025-02-24,2025-03-28,Jason Lewis,001-762-347-7132x41984,maria78@hotmail.com,Hot,No,No,Visited,Still Deciding
2025-02-08,2025-03-28,Seth Williams,(681)408-8571x902,monicaburton@saunders.org,Cold,No,No,Other Interests,Purchased
2025-02-22,2025-04-07,Grant Willis,001-253-885-3788x2714,ireynolds@clark.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-03-14,2025-03-30,Cynthia Mosley,762.764.2069x4721,larsonkayla@gmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-03-31,2025-04-06,Jessica Lewis,881.736.1339x78186,danielpratt@gmail.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-24,2025-03-07,Bryan Elliott,+1-487-088-3800x4605,burgessjacob@dominguez.com,Cold,No,No,Other Interests,Booked Another Visit
2025-04-07,2025-04-08,Karen Hunt,+1-718-868-0153x0585,mark94@newton.com,Cold,No,No,Sent Info via Email,Purchased
2025-02-15,2025-02-27,Monica Lawrence,+1-116-843-4879x62011,dawnbrown@yahoo.com,Cold,No,No,Not Interested,Not Interested
2025-03-31,2025-04-06,Tamara Harper,(639)386-3498x76288,sheilahenderson@yahoo.com,Hot,Yes,Yes,Follow Up with Another Call,Not Interested
2025-01-17,2025-03-29,Kelly Roberts,322.307.0900x54070,lisawhite@yahoo.com,Warm,Yes,Yes,Booked Site Visit,Purchased
2025-03-02,2025-03-29,Russell Mejia,(565)305-4042,jacksonbrandi@yahoo.com,Cold,Yes,Yes,Sent Info via Email,Booked Another Visit
2025-02-26,2025-02-28,Christopher Jackson,601.318.0881x612,hernandezrobert@howard.com,Cold,No,No,Follow Up with Another Call,Booked Another Visit
2025-01-14,2025-03-02,Zachary Cuevas,786.871.6197,balexander@gmail.com,Warm,No,No,Agents,Not Interested
2025-03-08,2025-03-31,Daniel Fowler,001-898-472-6626x844,alisonsherman@hotmail.com,Hot,Yes,Yes,Agents,Not Interested
2025-01-24,2025-03-28,Shannon Gregory,353-194-7932,foxchristopher@hotmail.com,Warm,No,No,Agents,Not Interested
2025-04-04,2025-04-07,Vanessa Brewer,768-391-9422x7701,saraparker@wood.info,Cold,No,No,Follow Up with Another Call,Purchased
2025-02-13,2025-03-12,Christine Mcdonald,+1-556-859-6765x93196,amanda66@gmail.com,Warm,Yes,Yes,Did Not Pick,Still Deciding
2025-03-03,2025-03-19,Marcus Estes,001-982-237-7207x186,jacob64@hotmail.com,Cold,Yes,No,Follow Up with Another Call,Still Deciding
2025-01-09,2025-01-12,Joyce Atkins,+1-282-550-6723,nvilla@bauer.com,Hot,No,No,Sent Info via Email,Booked Another Visit
2025-04-06,2025-04-06,Daniel Wilson DDS,789-455-6636,aaron78@wong.com,Warm,Yes,No,Did Not Pick,Not Interested
2025-01-11,2025-02-17,Autumn Murray,871-170-3013x974,ericjones@hotmail.com,Warm,Yes,Yes,Booked Site Visit,Still Deciding
2025-03-23,2025-04-06,Emma Holt,828.259.8614x944,jeannemoore@singleton.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-02-01,2025-02-15,Tim Lee,(808)221-7639x5687,longelizabeth@smith-meyers.com,Cold,No,No,Not Interested,Purchased
2025-02-20,2025-02-23,Corey Hopkins,950.472.3397x21597,trevorramirez@meyer.com,Cold,No,No,Not Interested,Not Interested
2025-02-19,2025-03-23,Danielle Russell,(465)148-2728,riveramadison@clarke.com,Warm,No,No,Visited,Not Interested
2025-03-31,2025-04-05,Daniel Johnson,+1-087-260-6750x18422,fthompson@yahoo.com,Hot,No,No,Booked Site Visit,Not Interested
2025-03-05,2025-03-18,Ashley Pugh,028.200.3807x974,nancyrichardson@smith.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-03-02,2025-03-08,Amanda Patel,+1-247-667-0717,johnjimenez@hotmail.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-01-21,2025-01-21,Jennifer Hampton,294-757-6311x476,lrussell@roberson-christian.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-01-09,2025-01-11,Linda Taylor,001-400-530-3153x25884,sandraleon@gmail.com,Hot,No,No,Follow Up with Another Call,Purchased
2025-03-03,2025-04-04,Shawn Gray,393.092.1248x379,emiller@lester-rice.org,Warm,No,No,Visited,Not Interested
2025-03-10,2025-03-24,Wanda Snyder,+1-856-857-2320x0106,hmyers@hansen.net,Cold,No,No,Not Interested,Still Deciding
2025-01-12,2025-03-04,Julie Russell,(275)886-6204x24658,eduardo48@yahoo.com,Hot,No,No,Booked Site Visit,Still Deciding
2025-02-11,2025-03-16,Jermaine Flores,(863)889-5279x52791,esmith@walker.biz,Cold,No,No,Booked Site Visit,Not Interested
2025-02-11,2025-02-24,William Burnett,843-350-9043x20514,andrew47@hotmail.com,Cold,No,No,Other Interests,Purchased
2025-04-05,2025-04-07,Reginald Murray,934.519.2630,pcrane@gmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-03-07,2025-03-28,Johnny Lam,001-732-481-9343,batesangela@hernandez.com,Warm,Yes,No,Sent Info via Email,Not Interested
2025-01-11,2025-02-05,Julie Garcia,+1-986-958-6054x395,danielle55@yahoo.com,Cold,Yes,Yes,Visited,Not Interested
2025-01-12,2025-03-05,Sonya Pena,(149)229-0312x902,stevensapril@fisher-hicks.biz,Warm,No,No,Agents,Still Deciding
2025-01-13,2025-02-18,Samantha Smith,(771)551-3724x651,rodriguezmichael@cruz.com,Hot,Yes,Yes,Sent Info via Email,Purchased
2025-02-14,2025-02-19,Brandon Wilson,001-542-521-0753,melissashannon@malone.com,Cold,Yes,Yes,Follow Up with Another Call,Not Interested
2025-01-15,2025-02-18,Austin Jones PhD,001-555-890-7305x27543,bergamanda@rojas-chang.com,Cold,No,No,Other Interests,Still Deciding
2025-03-15,2025-03-30,Kenneth Combs,360.868.0344x76571,christine98@gmail.com,Hot,No,No,Did Not Pick,Not Interested
2025-01-13,2025-04-04,Mrs. Jordan Stokes,001-953-519-7815,sharpemily@gmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-01-12,2025-02-17,Steven Carter,(357)464-3178x13391,vanessahinton@thompson.com,Hot,No,No,Other Interests,Not Interested
2025-02-06,2025-03-07,Amanda Cardenas,001-595-896-4142x728,robertsonjoseph@gmail.com,Cold,No,No,Visited,Still Deciding
2025-03-04,2025-03-23,Marvin Hill,+1-670-611-9076x440,erikamolina@andrews-jones.com,Cold,No,No,Other Interests,Still Deciding
2025-03-14,2025-03-27,Kathleen May,(501)786-2055x53036,emilymanning@arellano-jones.com,Cold,No,No,Visited,Still Deciding
2025-03-01,2025-03-20,Joshua Huang,7000743746,ereed@reyes.com,Warm,Yes,Yes,Sent Info via Email,Booked Another Visit
2025-01-23,2025-03-19,Cameron Sweeney,102.471.5955x170,dunnwilliam@turner.info,Cold,Yes,No,Other Interests,Purchased
2025-03-11,2025-04-05,Alexa Ortiz,773.056.4420x052,brian39@yahoo.com,Warm,No,No,Booked Site Visit,Purchased
2025-03-27,2025-04-01,Jamie Knapp,(898)038-8596x14384,davidwilliams@hotmail.com,Cold,No,No,Visited,Purchased
2025-03-23,2025-03-28,William Cook,7330372989,vdelacruz@yahoo.com,Hot,No,No,Not Interested,Not Interested
2025-01-16,2025-04-01,Rachael Harris,001-610-387-5231x033,kevindavis@thomas-evans.com,Warm,No,No,Visited,Purchased
2025-02-09,2025-02-19,Clifford Moyer,971.672.3353x71425,jonathonbarton@hotmail.com,Hot,No,No,Sent Info via Email,Not Interested
2025-02-06,2025-02-28,Robert Lang,+1-405-179-2694x56606,randallsmith@yang.com,Cold,No,No,Not Interested,Purchased
2025-02-12,2025-03-20,Anthony Hayes,221.254.9759x61798,brandon34@yahoo.com,Hot,No,No,Not Interested,Not Interested
2025-04-04,2025-04-04,Mr. Eddie Brown,+1-432-798-3831x5742,austinkatherine@hotmail.com,Warm,No,No,Visited,Not Interested
2025-01-27,2025-02-20,Stephanie Castro,(042)642-8567,johnnywright@moore-harris.com,Hot,No,No,Agents,Still Deciding
2025-03-30,2025-03-30,Joshua Branch,(395)314-8538,rsmith@hotmail.com,Cold,No,No,Booked Site Visit,Purchased
2025-04-01,2025-04-06,Audrey Bush,+1-992-456-4157x3147,qgonzalez@smith-lopez.org,Hot,No,No,Sent Info via Email,Still Deciding
2025-01-30,2025-03-15,Jesus White,944-842-8098x0944,cfritz@hotmail.com,Hot,Yes,Yes,Other Interests,Still Deciding
2025-03-24,2025-03-28,Natalie Campbell,036.686.6195,mitchellkevin@jones-smith.info,Warm,No,No,Visited,Purchased
2025-03-12,2025-04-04,Maria Mathews,(996)783-8873x994,ballardheidi@garcia-archer.com,Hot,No,No,Not Interested,Purchased
2025-03-22,2025-03-24,Gabrielle Rogers,(462)684-7698,hickschelsea@gmail.com,Hot,No,No,Follow Up with Another Call,Purchased
2025-01-21,2025-02-12,Christopher Dickerson,+1-703-153-0693x82726,tylergarcia@nelson.info,Cold,Yes,Yes,Did Not Pick,Not Interested
2025-01-26,2025-01-30,Bradley Hutchinson,+1-694-569-7262x8353,corey91@haney.com,Cold,No,No,Not Interested,Still Deciding
2025-03-01,2025-03-26,Shelly Brown,732.693.7687x980,walkerdanielle@yahoo.com,Cold,No,No,Follow Up with Another Call,Purchased
2025-02-04,2025-04-05,Yvonne Ellison,614-817-1041x7295,bgray@powell.net,Cold,No,No,Other Interests,Not Interested
2025-02-09,2025-02-27,Victoria Hurley,270.008.7729x7857,uhodge@hotmail.com,Hot,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-22,2025-04-04,Keith Harris,(470)888-2367x94194,meyerjoseph@edwards.com,Cold,No,No,Agents,Still Deciding
2025-03-29,2025-04-08,Christopher Webb,9438637555,johnsonrhonda@yahoo.com,Cold,Yes,No,Not Interested,Purchased
2025-03-28,2025-03-28,Richard Velasquez,+1-834-864-7511,bethgutierrez@ponce-ramos.net,Cold,No,No,Other Interests,Still Deciding
2025-03-17,2025-03-18,Matthew Elliott,796-112-5523,shaffercaitlin@gmail.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-03-31,2025-04-08,Emily Fitzpatrick MD,266-123-9826,cheyennehenderson@yahoo.com,Warm,No,No,Not Interested,Booked Another Visit
2025-02-21,2025-03-19,Thomas Wells,938-747-1762x8683,danielle58@gmail.com,Warm,No,No,Sent Info via Email,Purchased
2025-03-17,2025-03-20,Robin Harris,931-284-0685x6206,glopez@lopez-mckinney.com,Hot,No,No,Other Interests,Still Deciding
2025-03-16,2025-03-17,Derek Campos,(757)981-5166x6227,dsnyder@hall.info,Cold,Yes,Yes,Booked Site Visit,Booked Another Visit
2025-03-27,2025-04-07,Crystal Moore,306.781.8266x640,parkerfelicia@mathis-stanley.info,Hot,No,No,Not Interested,Booked Another Visit
2025-03-13,2025-03-14,Meghan Miller,4972370419,msantiago@gmail.com,Cold,No,No,Booked Site Visit,Not Interested
2025-04-03,2025-04-06,Maria Jones,8622120234,christopherhopkins@hotmail.com,Warm,Yes,Yes,Other Interests,Not Interested
2025-01-27,2025-02-15,Tara Washington,+1-281-975-6784x62810,danielle47@gmail.com,Cold,Yes,Yes,Did Not Pick,Not Interested
2025-01-15,2025-04-06,Kayla Deleon,8167154982,gouldjonathan@hotmail.com,Warm,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-22,2025-03-22,Matthew Nicholson,015.495.4312x63612,smithmark@yahoo.com,Cold,Yes,Yes,Not Interested,Booked Another Visit
2025-03-05,2025-03-13,Sarah Mckee,001-889-354-4109x499,aprilramirez@murray.com,Cold,No,No,Agents,Still Deciding
2025-02-08,2025-02-17,Joe Tate,1406298310,mezaharry@flowers.com,Warm,No,No,Other Interests,Still Deciding
2025-02-17,2025-03-06,Amanda Austin,+1-183-542-4721x56275,michaelaharmon@anderson.com,Hot,No,No,Not Interested,Booked Another Visit
2025-01-22,2025-03-16,Julia Wright,(923)924-9105,ucoleman@morse.com,Warm,No,No,Visited,Not Interested
2025-03-05,2025-03-13,Lacey Mcdonald,(826)840-5273,kevin33@atkins-hunter.com,Warm,No,No,Other Interests,Purchased
2025-03-20,2025-03-20,Sean Mann,001-481-668-9995x6113,donovanjudy@yahoo.com,Hot,Yes,Yes,Not Interested,Purchased
2025-03-26,2025-04-08,Julia Ingram,001-459-626-9426x531,serranojuan@hotmail.com,Warm,Yes,No,Follow Up with Another Call,Booked Another Visit
2025-01-11,2025-03-24,Cody Jones,(978)565-6752x913,michelle31@ford-carrillo.org,Cold,Yes,Yes,Sent Info via Email,Not Interested
2025-02-06,2025-02-14,Ruth Johnson,346-792-1068,hawkinschristopher@yahoo.com,Warm,Yes,Yes,Visited,Still Deciding
2025-04-03,2025-04-04,Mary Walker,145-357-2189x378,marylarson@brown.com,Warm,No,No,Did Not Pick,Not Interested
2025-02-07,2025-03-17,Priscilla James DDS,811.341.6680x2213,josephrodriguez@gmail.com,Warm,Yes,No,Agents,Still Deciding
2025-02-14,2025-02-18,Brian Koch,875.103.2210x76783,lanepamela@gmail.com,Warm,No,No,Did Not Pick,Still Deciding
2025-02-05,2025-02-12,Pam Ryan,032.140.1869,qlarson@tanner.com,Warm,Yes,Yes,Not Interested,Purchased
2025-03-05,2025-03-26,Alexa Johnson,344.307.2029,hardystephanie@hotmail.com,Cold,No,No,Visited,Still Deciding
2025-02-04,2025-02-20,Nicole Valencia,059.144.8304x6474,emoore@bowman.com,Hot,Yes,Yes,Sent Info via Email,Not Interested
2025-04-07,2025-04-07,Rebecca Walker,6635392482,joshuahenderson@white-santana.com,Cold,No,No,Other Interests,Still Deciding
2025-01-25,2025-02-15,Mary Parker,(610)207-4527x20874,jthompson@jensen.com,Hot,No,No,Visited,Not Interested
2025-02-05,2025-02-16,Robert Shannon,(703)620-0541x28830,hunterberger@yahoo.com,Hot,Yes,Yes,Agents,Not Interested
2025-03-15,2025-04-02,Kenneth Martinez,001-933-232-2835,wblake@yahoo.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-01-12,2025-03-19,Michael Avery,937-005-1121x5276,dominicthompson@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-03-09,2025-04-06,Stephanie King,236-219-0249,connernatalie@hotmail.com,Cold,Yes,No,Other Interests,Not Interested
2025-03-18,2025-04-03,Barbara Jones,6860277859,kyle23@robinson.org,Warm,Yes,Yes,Did Not Pick,Still Deciding
2025-01-09,2025-01-24,Joseph Alvarez MD,328.333.5265x40226,kmoyer@hotmail.com,Warm,Yes,No,Did Not Pick,Purchased
2025-01-20,2025-02-21,Leslie Schultz,+1-259-670-0013,christine77@gonzalez.net,Cold,No,No,Not Interested,Still Deciding
2025-03-11,2025-03-18,Andrea Knight,042.093.4564,heather84@yahoo.com,Hot,No,No,Visited,Not Interested
2025-04-05,2025-04-08,Daniel Mercado,735-233-5605x4652,phillipsrobert@hotmail.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-12,2025-02-14,Randy Howard,(041)722-3939x252,erinmartinez@salazar-delgado.info,Warm,Yes,No,Follow Up with Another Call,Booked Another Visit
2025-03-30,2025-03-31,Wesley Ryan,091-758-8469,jamiefrederick@hotmail.com,Hot,No,No,Sent Info via Email,Still Deciding
2025-02-19,2025-02-26,Jeremy Cannon,(049)228-5695x41430,villanuevacraig@yahoo.com,Hot,Yes,Yes,Not Interested,Purchased
2025-03-25,2025-04-05,Elizabeth Williams,(035)739-3326,vsmith@yahoo.com,Hot,Yes,Yes,Visited,Not Interested
2025-02-10,2025-02-25,Justin Martin,+1-462-644-8442x9181,mabbott@gmail.com,Hot,Yes,Yes,Follow Up with Another Call,Not Interested
2025-02-25,2025-02-26,Natalie Huang,001-891-109-4320,jamescobb@yahoo.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-01-17,2025-02-24,Cole Dean,001-482-949-9367x75287,harperalexander@gmail.com,Warm,Yes,Yes,Did Not Pick,Purchased
2025-01-24,2025-02-07,Amy Martin,676-948-7291x404,ocarter@werner.com,Cold,No,No,Other Interests,Still Deciding
2025-03-21,2025-03-31,Austin Singleton,332.665.3145,perezlauren@yahoo.com,Hot,Yes,No,Not Interested,Purchased
2025-03-16,2025-03-19,Timothy Mays,001-105-610-9432x79295,dunnmarc@leon.com,Warm,No,No,Visited,Purchased
2025-04-03,2025-04-03,Melanie Harris,372-731-8693x1836,adamshaw@gmail.com,Warm,No,No,Not Interested,Not Interested
2025-02-21,2025-04-08,Makayla Powers,001-966-353-8659,jensenjohn@yahoo.com,Hot,No,No,Sent Info via Email,Purchased
2025-02-12,2025-03-12,Autumn Callahan,+1-159-694-2771x93615,jacobbradley@yahoo.com,Cold,No,No,Visited,Still Deciding
2025-02-16,2025-03-03,Kevin Sandoval,+1-495-518-2272x28190,mgarcia@yahoo.com,Warm,No,No,Sent Info via Email,Not Interested
2025-02-20,2025-04-02,Sherry Franco,490-021-3973x0963,lauren56@mills.com,Hot,No,No,Visited,Purchased
2025-03-30,2025-04-04,William Oconnell,5148859911,francisstephen@hughes.com,Cold,No,No,Follow Up with Another Call,Purchased
2025-01-13,2025-02-15,Jennifer Palmer,961-746-0035x449,crios@gmail.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-04-06,2025-04-08,Isaac Hernandez,507-648-8066,dwilliams@davis.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-01-21,2025-01-22,Alexis Marshall,+1-989-409-8443,marshallcrystal@smith-roberts.com,Hot,Yes,No,Booked Site Visit,Not Interested
2025-01-21,2025-03-11,Ivan Johnson II,(326)674-9292,eric45@gonzales.com,Hot,Yes,Yes,Sent Info via Email,Purchased
2025-03-11,2025-03-26,Daniel Clark,001-042-603-3212,xhubbard@nguyen.biz,Hot,No,No,Agents,Still Deciding
2025-02-20,2025-04-05,Ethan Hall,+1-781-212-9383x4323,lukelloyd@hotmail.com,Warm,Yes,No,Booked Site Visit,Not Interested
2025-02-12,2025-03-05,Diane Yoder,1614977124,donna16@lee-page.biz,Cold,No,No,Did Not Pick,Purchased
2025-01-28,2025-02-28,Deborah Davis,(222)655-2867x583,ruiztiffany@wong.info,Hot,No,No,Not Interested,Still Deciding
2025-02-13,2025-02-13,Jennifer Williamson,6992455150,wmiller@gmail.com,Cold,No,No,Visited,Purchased
2025-02-22,2025-03-27,Ryan Chen,824.050.3853,robert13@gmail.com,Warm,No,No,Follow Up with Another Call,Purchased
